Start	End	Direction	Weight
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:83439	0	1
hsa:6934	hsa:83439	0	1
hsa:51176	hsa:595	1	1
hsa:6932	hsa:595	1	1
hsa:6934	hsa:595	1	1
hsa:83439	hsa:595	1	1
hsa:51176	hsa:4609	1	1
hsa:6932	hsa:4609	1	1
hsa:6934	hsa:4609	1	1
hsa:83439	hsa:4609	1	1
hsa:10342	hsa:4914	0	1
hsa:10342	hsa:7170	0	1
hsa:10342	hsa:7175	0	1
hsa:4914	hsa:7170	0	1
hsa:4914	hsa:7175	0	1
hsa:7170	hsa:7175	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:4893	0	1
hsa:3845	hsa:4893	0	1
hsa:10342	hsa:3265	1	1
hsa:10342	hsa:3845	1	1
hsa:10342	hsa:4893	1	1
hsa:4914	hsa:3265	1	1
hsa:4914	hsa:3845	1	1
hsa:4914	hsa:4893	1	1
hsa:7170	hsa:3265	1	1
hsa:7170	hsa:3845	1	1
hsa:7170	hsa:4893	1	1
hsa:7175	hsa:3265	1	1
hsa:7175	hsa:3845	1	1
hsa:7175	hsa:4893	1	1
hsa:5979	hsa:8030	0	1
hsa:5979	hsa:8031	0	1
hsa:8030	hsa:8031	0	1
hsa:5979	hsa:3265	1	1
hsa:5979	hsa:3845	1	1
hsa:5979	hsa:4893	1	1
hsa:8030	hsa:3265	1	1
hsa:8030	hsa:3845	1	1
hsa:8030	hsa:4893	1	1
hsa:8031	hsa:3265	1	1
hsa:8031	hsa:3845	1	1
hsa:8031	hsa:4893	1	1
hsa:3265	hsa:673	1	2
hsa:3845	hsa:673	1	2
hsa:4893	hsa:673	1	2
hsa:5604	hsa:5605	0	1
hsa:673	hsa:5604	1	6
hsa:673	hsa:5605	1	6
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	4
hsa:5604	hsa:5595	1	4
hsa:5605	hsa:5594	1	4
hsa:5605	hsa:5595	1	4
hsa:1499	hsa:51176	1	1
hsa:1499	hsa:6932	1	1
hsa:1499	hsa:6934	1	1
hsa:1499	hsa:83439	1	1
hsa:1499	hsa:999	0	1
hsa:5468	hsa:7849	0	1
hsa:6256	hsa:6257	0	1
hsa:6256	hsa:6258	0	1
hsa:6257	hsa:6258	0	1
hsa:5468	hsa:6256	0	1
hsa:5468	hsa:6257	0	1
hsa:5468	hsa:6258	0	1
hsa:7849	hsa:6256	0	1
hsa:7849	hsa:6257	0	1
hsa:7849	hsa:6258	0	1
