Start	End	Direction	Weight
hsa:374	hsa:1956	1	1
hsa:2069	hsa:1956	1	1
hsa:7039	hsa:1956	1	1
hsa:1950	hsa:1956	1	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:1956	hsa:5290	1	2
hsa:1956	hsa:5291	1	2
hsa:1956	hsa:5293	1	2
hsa:1956	hsa:5295	1	2
hsa:1956	hsa:5296	1	2
hsa:1956	hsa:8503	1	2
hsa:1956	hsa:2885	1	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	3
hsa:369	hsa:5605	1	3
hsa:5894	hsa:5604	1	3
hsa:5894	hsa:5605	1	3
hsa:673	hsa:5604	1	3
hsa:673	hsa:5605	1	3
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	3
hsa:5604	hsa:5595	1	3
hsa:5605	hsa:5594	1	3
hsa:5605	hsa:5595	1	3
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:2475	1	1
hsa:207	hsa:2475	1	1
hsa:208	hsa:2475	1	1
hsa:6198	hsa:6199	0	1
hsa:2475	hsa:6198	1	1
hsa:2475	hsa:6199	1	1
hsa:6654	hsa:6655	0	1
hsa:2885	hsa:6654	1	1
hsa:2885	hsa:6655	1	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:4893	0	1
hsa:3845	hsa:4893	0	1
hsa:6654	hsa:3265	1	1
hsa:6654	hsa:3845	1	1
hsa:6654	hsa:4893	1	1
hsa:6655	hsa:3265	1	1
hsa:6655	hsa:3845	1	1
hsa:6655	hsa:4893	1	1
hsa:3265	hsa:369	1	1
hsa:3265	hsa:5894	1	1
hsa:3265	hsa:673	1	1
hsa:3845	hsa:369	1	2
hsa:3845	hsa:5894	1	2
hsa:3845	hsa:673	1	2
hsa:4893	hsa:369	1	1
hsa:4893	hsa:5894	1	1
hsa:4893	hsa:673	1	1
hsa:5898	hsa:5899	0	1
hsa:387	hsa:5879	0	1
hsa:387	hsa:5880	0	1
hsa:387	hsa:5881	0	1
hsa:5879	hsa:5880	0	1
hsa:5879	hsa:5881	0	1
hsa:5880	hsa:5881	0	1
hsa:5898	hsa:387	1	1
hsa:5898	hsa:5879	1	1
hsa:5898	hsa:5880	1	1
hsa:5898	hsa:5881	1	1
hsa:5899	hsa:387	1	1
hsa:5899	hsa:5879	1	1
hsa:5899	hsa:5880	1	1
hsa:5899	hsa:5881	1	1
hsa:27113	hsa:596	1	1
hsa:10018	hsa:596	1	1
hsa:572	hsa:596	1	1
hsa:5366	hsa:596	1	1
hsa:4087	hsa:4088	0	1
hsa:7048	hsa:4087	0	1
hsa:7048	hsa:4088	0	1
hsa:581	hsa:596	1	1
hsa:10000	hsa:842	1	1
hsa:207	hsa:842	1	1
hsa:208	hsa:842	1	1
hsa:10000	hsa:572	1	1
hsa:207	hsa:572	1	1
hsa:208	hsa:572	1	1
hsa:10000	hsa:2932	1	1
hsa:207	hsa:2932	1	1
hsa:208	hsa:2932	1	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:83439	0	1
hsa:6934	hsa:83439	0	1
hsa:1499	hsa:51176	1	2
hsa:1499	hsa:6932	1	2
hsa:1499	hsa:6934	1	2
hsa:1499	hsa:83439	1	2
hsa:2932	hsa:1499	1	2
hsa:51176	hsa:595	1	1
hsa:6932	hsa:595	1	1
hsa:6934	hsa:595	1	1
hsa:83439	hsa:595	1	1
hsa:51176	hsa:4609	1	1
hsa:6932	hsa:4609	1	1
hsa:6934	hsa:4609	1	1
hsa:83439	hsa:4609	1	1
hsa:51176	hsa:332	1	1
hsa:6932	hsa:332	1	1
hsa:6934	hsa:332	1	1
hsa:83439	hsa:332	1	1
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:4609	hsa:595	1	1
hsa:2353	hsa:595	1	1
hsa:3725	hsa:595	1	1
hsa:5594	hsa:4609	1	1
hsa:5595	hsa:4609	1	1
hsa:5594	hsa:2353	1	1
hsa:5595	hsa:2353	1	1
hsa:5594	hsa:3725	1	1
hsa:5595	hsa:3725	1	1
hsa:5599	hsa:5601	0	1
hsa:5599	hsa:5602	0	1
hsa:5601	hsa:5602	0	1
hsa:387	hsa:5599	1	1
hsa:387	hsa:5601	1	1
hsa:387	hsa:5602	1	1
hsa:5879	hsa:5599	1	1
hsa:5879	hsa:5601	1	1
