Start	End	Direction	Weight
hsa:55274	hsa:8110	0	1
hsa:55274	hsa:8193	0	1
hsa:8110	hsa:8193	0	1
hsa:55274	hsa:196528	0	1
hsa:8110	hsa:196528	0	1
hsa:8193	hsa:196528	0	1
hsa:6602	hsa:6603	0	1
hsa:6602	hsa:6604	0	1
hsa:6603	hsa:6604	0	1
hsa:6602	hsa:55274	0	1
hsa:6602	hsa:8110	0	1
hsa:6602	hsa:8193	0	1
hsa:6603	hsa:55274	0	1
hsa:6603	hsa:8110	0	1
hsa:6603	hsa:8193	0	1
hsa:6604	hsa:55274	0	1
hsa:6604	hsa:8110	0	1
hsa:6604	hsa:8193	0	1
hsa:51412	hsa:86	0	1
hsa:51412	hsa:6602	0	2
hsa:51412	hsa:6603	0	2
hsa:51412	hsa:6604	0	2
hsa:86	hsa:6602	0	2
hsa:86	hsa:6603	0	2
hsa:86	hsa:6604	0	2
hsa:60	hsa:71	0	1
hsa:60	hsa:51412	0	1
hsa:60	hsa:86	0	1
hsa:71	hsa:51412	0	1
hsa:71	hsa:86	0	1
hsa:29117	hsa:60	0	1
hsa:29117	hsa:71	0	1
hsa:6605	hsa:29117	0	1
hsa:55193	hsa:6605	0	1
hsa:57492	hsa:8289	0	1
hsa:6605	hsa:57492	0	1
hsa:6605	hsa:8289	0	1
hsa:6602	hsa:6605	0	1
hsa:6603	hsa:6605	0	1
hsa:6604	hsa:6605	0	1
hsa:55274	hsa:51412	0	1
hsa:55274	hsa:86	0	1
hsa:8110	hsa:51412	0	1
hsa:8110	hsa:86	0	1
hsa:8193	hsa:51412	0	1
hsa:8193	hsa:86	0	1
hsa:60	hsa:55274	0	1
hsa:60	hsa:8110	0	1
hsa:60	hsa:8193	0	1
hsa:71	hsa:55274	0	1
hsa:71	hsa:8110	0	1
hsa:71	hsa:8193	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:2549	hsa:5290	1	1
hsa:2549	hsa:5291	1	1
hsa:2549	hsa:5293	1	1
hsa:2549	hsa:5295	1	1
hsa:2549	hsa:5296	1	1
hsa:2549	hsa:8503	1	1
hsa:1019	hsa:1021	0	1
hsa:595	hsa:1019	0	1
hsa:595	hsa:1021	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1870	hsa:1871	0	1
hsa:5925	hsa:1869	0	1
hsa:5925	hsa:1870	0	1
hsa:5925	hsa:1871	0	1
hsa:1019	hsa:5925	0	1
hsa:1021	hsa:5925	0	1
hsa:1029	hsa:595	0	1
hsa:572	hsa:598	1	1
hsa:9817	hsa:4780	1	1
hsa:7015	hsa:7012	0	1
hsa:10587	hsa:114112	0	1
hsa:10587	hsa:7296	0	1
hsa:114112	hsa:7296	0	1
hsa:4780	hsa:10587	1	1
hsa:4780	hsa:114112	1	1
hsa:4780	hsa:7296	1	1
hsa:119391	hsa:221357	0	1
hsa:119391	hsa:2938	0	1
hsa:119391	hsa:2939	0	1
hsa:119391	hsa:2940	0	1
hsa:119391	hsa:2941	0	1
hsa:119391	hsa:2944	0	1
hsa:119391	hsa:2946	0	1
hsa:119391	hsa:2947	0	1
hsa:119391	hsa:2948	0	1
hsa:119391	hsa:2949	0	1
hsa:119391	hsa:2950	0	1
hsa:119391	hsa:2952	0	1
hsa:119391	hsa:2953	0	1
hsa:119391	hsa:4257	0	1
hsa:119391	hsa:4258	0	1
hsa:119391	hsa:4259	0	1
hsa:119391	hsa:653689	0	1
hsa:119391	hsa:9446	0	1
hsa:221357	hsa:2938	0	1
hsa:221357	hsa:2939	0	1
hsa:221357	hsa:2940	0	1
hsa:221357	hsa:2941	0	1
hsa:221357	hsa:2944	0	1
hsa:221357	hsa:2946	0	1
