Start	End	Direction	Weight
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:6198	hsa:6199	0	1
hsa:2475	hsa:6198	1	1
hsa:2475	hsa:6199	1	1
hsa:1956	hsa:1956	0	1
hsa:1956	hsa:2064	0	1
hsa:1956	hsa:3716	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:1956	hsa:5290	0	1
hsa:1956	hsa:5291	0	1
hsa:1956	hsa:5293	0	1
hsa:1956	hsa:5295	0	1
hsa:1956	hsa:5296	0	1
hsa:1956	hsa:8503	0	1
hsa:675	hsa:5888	0	1
hsa:4087	hsa:4088	0	1
hsa:4087	hsa:4089	0	1
hsa:4088	hsa:4089	0	1
hsa:7046	hsa:4087	0	1
hsa:7046	hsa:4088	0	1
hsa:7046	hsa:7048	0	1
hsa:7040	hsa:7042	0	1
hsa:7040	hsa:7043	0	1
hsa:7042	hsa:7043	0	1
hsa:7040	hsa:7048	0	1
hsa:7042	hsa:7048	0	1
hsa:7043	hsa:7048	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1870	hsa:1871	0	1
hsa:5925	hsa:1869	0	1
hsa:5925	hsa:1870	0	1
hsa:5925	hsa:1871	0	1
hsa:1019	hsa:1021	0	1
hsa:1019	hsa:5925	0	1
hsa:1021	hsa:5925	0	1
hsa:1019	hsa:595	0	1
hsa:1021	hsa:595	0	1
hsa:1029	hsa:595	0	1
hsa:4790	hsa:5970	0	1
hsa:4790	hsa:7422	1	1
hsa:5970	hsa:7422	1	1
hsa:6772	hsa:7422	1	1
hsa:6774	hsa:7422	1	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:2475	1	2
hsa:207	hsa:2475	1	2
hsa:208	hsa:2475	1	2
hsa:10000	hsa:4790	1	1
hsa:10000	hsa:5970	1	1
hsa:207	hsa:4790	1	1
hsa:207	hsa:5970	1	1
hsa:208	hsa:4790	1	1
hsa:208	hsa:5970	1	1
hsa:10000	hsa:598	1	1
hsa:207	hsa:598	1	1
hsa:208	hsa:598	1	1
hsa:3716	hsa:6772	1	2
hsa:3716	hsa:6774	1	2
hsa:1950	hsa:1956	0	1
hsa:7039	hsa:1956	0	1
hsa:5879	hsa:5880	0	1
hsa:5879	hsa:5881	0	1
hsa:5879	hsa:998	0	1
