Start	End	Direction	Weight		Start	End	Direction	Weight
hsa:369	hsa:5894	0	1		hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1		hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1		hsa:5894	hsa:673	0	1
hsa:5604	hsa:5605	0	1		hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	2		hsa:369	hsa:5604	1	2
hsa:369	hsa:5605	1	2		hsa:369	hsa:5605	1	2
hsa:5894	hsa:5604	1	2		hsa:5894	hsa:5604	1	2
hsa:5894	hsa:5605	1	2		hsa:5894	hsa:5605	1	2
hsa:673	hsa:5604	1	2		hsa:673	hsa:5604	1	2
hsa:673	hsa:5605	1	2		hsa:673	hsa:5605	1	2
hsa:5594	hsa:5595	0	1		hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	2		hsa:5604	hsa:5594	1	2
hsa:5604	hsa:5595	1	2		hsa:5604	hsa:5595	1	2
hsa:5605	hsa:5594	1	2		hsa:5605	hsa:5594	1	2
hsa:5605	hsa:5595	1	2		hsa:5605	hsa:5595	1	2
hsa:5594	hsa:3725	1	2		hsa:5594	hsa:3725	1	2
hsa:5595	hsa:3725	1	2		hsa:5595	hsa:3725	1	2
hsa:5594	hsa:2113	1	2		hsa:5594	hsa:2113	1	2
hsa:5595	hsa:2113	1	2		hsa:5595	hsa:2113	1	2
hsa:3082	hsa:4233	1	1		hsa:3082	hsa:4233	1	1
hsa:5290	hsa:5291	0	1		hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1		hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1		hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1		hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1		hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1		hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1		hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1		hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1		hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1		hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1		hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1		hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1		hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1		hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1		hsa:5296	hsa:8503	0	1
hsa:10000	hsa:207	0	1		hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1		hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1		hsa:207	hsa:208	0	1
hsa:5290	hsa:10000	1	1		hsa:5290	hsa:10000	1	1
hsa:5290	hsa:207	1	1		hsa:5290	hsa:207	1	1
hsa:5290	hsa:208	1	1		hsa:5290	hsa:208	1	1
hsa:5291	hsa:10000	1	1		hsa:5291	hsa:10000	1	1
hsa:5291	hsa:207	1	1		hsa:5291	hsa:207	1	1
hsa:5291	hsa:208	1	1		hsa:5291	hsa:208	1	1
hsa:5293	hsa:10000	1	1		hsa:5293	hsa:10000	1	1
hsa:5293	hsa:207	1	1		hsa:5293	hsa:207	1	1
hsa:5293	hsa:208	1	1		hsa:5293	hsa:208	1	1
hsa:5295	hsa:10000	1	1		hsa:5295	hsa:10000	1	1
hsa:5295	hsa:207	1	1		hsa:5295	hsa:207	1	1
hsa:5295	hsa:208	1	1		hsa:5295	hsa:208	1	1
hsa:5296	hsa:10000	1	1		hsa:5296	hsa:10000	1	1
hsa:5296	hsa:207	1	1		hsa:5296	hsa:207	1	1
hsa:5296	hsa:208	1	1		hsa:5296	hsa:208	1	1
hsa:8503	hsa:10000	1	1		hsa:8503	hsa:10000	1	1
hsa:8503	hsa:207	1	1		hsa:8503	hsa:207	1	1
hsa:8503	hsa:208	1	1		hsa:8503	hsa:208	1	1
hsa:10000	hsa:572	1	1		hsa:10000	hsa:572	1	1
hsa:207	hsa:572	1	1		hsa:207	hsa:572	1	1
hsa:208	hsa:572	1	1		hsa:208	hsa:572	1	1
hsa:10298	hsa:106821730	0	1		hsa:10298	hsa:106821730	0	1
hsa:10298	hsa:5058	0	1		hsa:10298	hsa:5058	0	1
