Start	End	Direction	Weight
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	2
hsa:369	hsa:5605	1	2
hsa:5894	hsa:5604	1	2
hsa:5894	hsa:5605	1	2
hsa:673	hsa:5604	1	2
hsa:673	hsa:5605	1	2
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	2
hsa:5604	hsa:5595	1	2
hsa:5605	hsa:5594	1	2
hsa:5605	hsa:5595	1	2
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:572	1	2
hsa:207	hsa:572	1	2
hsa:208	hsa:572	1	2
hsa:10000	hsa:2475	1	2
hsa:207	hsa:2475	1	2
hsa:208	hsa:2475	1	2
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:8517	0	1
hsa:3551	hsa:8517	0	1
hsa:10000	hsa:1147	1	2
hsa:10000	hsa:3551	1	2
hsa:10000	hsa:8517	1	2
hsa:207	hsa:1147	1	2
hsa:207	hsa:3551	1	2
hsa:207	hsa:8517	1	2
hsa:208	hsa:1147	1	2
hsa:208	hsa:3551	1	2
hsa:208	hsa:8517	1	2
hsa:2475	hsa:1978	1	1
hsa:6198	hsa:6199	0	1
hsa:2475	hsa:6198	1	1
hsa:2475	hsa:6199	1	1
hsa:6774	hsa:6776	0	1
hsa:6774	hsa:6777	0	1
hsa:6776	hsa:6777	0	1
hsa:3815	hsa:6774	1	1
hsa:3815	hsa:6776	1	1
hsa:3815	hsa:6777	1	1
hsa:3815	hsa:2885	1	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
