Start	End	Direction	Weight
hsa:1950	hsa:1956	0	1
hsa:1956	hsa:2064	0	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:83439	0	1
hsa:6934	hsa:83439	0	1
hsa:51176	hsa:595	1	2
hsa:6932	hsa:595	1	2
hsa:6934	hsa:595	1	2
hsa:83439	hsa:595	1	2
hsa:51176	hsa:4609	1	2
hsa:6932	hsa:4609	1	2
hsa:6934	hsa:4609	1	2
hsa:83439	hsa:4609	1	2
hsa:7157	hsa:51426	1	3
hsa:7157	hsa:1643	1	3
hsa:7157	hsa:578	1	3
hsa:7157	hsa:581	1	3
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	3
hsa:7157	hsa:1647	1	3
hsa:7157	hsa:4616	1	3
hsa:7157	hsa:1026	1	3
hsa:6256	hsa:6257	0	1
hsa:6256	hsa:6258	0	1
hsa:6257	hsa:6258	0	1
hsa:5915	hsa:6256	0	1
hsa:5915	hsa:6257	0	1
hsa:5915	hsa:6258	0	1
hsa:2246	hsa:2247	0	1
hsa:2246	hsa:2248	0	1
hsa:2246	hsa:2249	0	1
hsa:2246	hsa:2250	0	1
hsa:2246	hsa:2251	0	1
hsa:2246	hsa:2252	0	1
hsa:2246	hsa:2253	0	1
hsa:2246	hsa:2254	0	1
hsa:2246	hsa:2255	0	1
hsa:2246	hsa:26281	0	1
hsa:2246	hsa:26291	0	1
hsa:2246	hsa:27006	0	1
hsa:2246	hsa:8074	0	1
hsa:2246	hsa:8817	0	1
hsa:2246	hsa:8822	0	1
hsa:2246	hsa:8823	0	1
hsa:2246	hsa:9965	0	1
hsa:2247	hsa:2248	0	1
hsa:2247	hsa:2249	0	1
hsa:2247	hsa:2250	0	1
hsa:2247	hsa:2251	0	1
hsa:2247	hsa:2252	0	1
hsa:2247	hsa:2253	0	1
hsa:2247	hsa:2254	0	1
hsa:2247	hsa:2255	0	1
hsa:2247	hsa:26281	0	1
hsa:2247	hsa:26291	0	1
hsa:2247	hsa:27006	0	1
hsa:2247	hsa:8074	0	1
hsa:2247	hsa:8817	0	1
hsa:2247	hsa:8822	0	1
hsa:2247	hsa:8823	0	1
hsa:2247	hsa:9965	0	1
hsa:2248	hsa:2249	0	1
hsa:2248	hsa:2250	0	1
hsa:2248	hsa:2251	0	1
hsa:2248	hsa:2252	0	1
hsa:2248	hsa:2253	0	1
hsa:2248	hsa:2254	0	1
hsa:2248	hsa:2255	0	1
hsa:2248	hsa:26281	0	1
hsa:2248	hsa:26291	0	1
hsa:2248	hsa:27006	0	1
hsa:2248	hsa:8074	0	1
hsa:2248	hsa:8817	0	1
hsa:2248	hsa:8822	0	1
hsa:2248	hsa:8823	0	1
hsa:2248	hsa:9965	0	1
hsa:2249	hsa:2250	0	1
hsa:2249	hsa:2251	0	1
hsa:2249	hsa:2252	0	1
hsa:2249	hsa:2253	0	1
hsa:2249	hsa:2254	0	1
hsa:2249	hsa:2255	0	1
hsa:2249	hsa:26281	0	1
hsa:2249	hsa:26291	0	1
hsa:2249	hsa:27006	0	1
hsa:2249	hsa:8074	0	1
hsa:2249	hsa:8817	0	1
hsa:2249	hsa:8822	0	1
hsa:2249	hsa:8823	0	1
hsa:2249	hsa:9965	0	1
hsa:2250	hsa:2251	0	1
hsa:2250	hsa:2252	0	1
hsa:2250	hsa:2253	0	1
hsa:2250	hsa:2254	0	1
hsa:2250	hsa:2255	0	1
hsa:2250	hsa:26281	0	1
hsa:2250	hsa:26291	0	1
hsa:2250	hsa:27006	0	1
hsa:2250	hsa:8074	0	1
hsa:2250	hsa:8817	0	1
hsa:2250	hsa:8822	0	1
hsa:2250	hsa:8823	0	1
hsa:2250	hsa:9965	0	1
hsa:2251	hsa:2252	0	1
hsa:2251	hsa:2253	0	1
hsa:2251	hsa:2254	0	1
hsa:2251	hsa:2255	0	1
hsa:2251	hsa:26281	0	1
hsa:2251	hsa:26291	0	1
hsa:2251	hsa:27006	0	1
hsa:2251	hsa:8074	0	1
hsa:2251	hsa:8817	0	1
hsa:2251	hsa:8822	0	1
hsa:2251	hsa:8823	0	1
hsa:2251	hsa:9965	0	1
hsa:2252	hsa:2253	0	1
hsa:2252	hsa:2254	0	1
hsa:2252	hsa:2255	0	1
hsa:2252	hsa:26281	0	1
hsa:2252	hsa:26291	0	1
hsa:2252	hsa:27006	0	1
hsa:2252	hsa:8074	0	1
hsa:2252	hsa:8817	0	1
hsa:2252	hsa:8822	0	1
hsa:2252	hsa:8823	0	1
hsa:2252	hsa:9965	0	1
hsa:2253	hsa:2254	0	1
hsa:2253	hsa:2255	0	1
hsa:2253	hsa:26281	0	1
hsa:2253	hsa:26291	0	1
hsa:2253	hsa:27006	0	1
hsa:2253	hsa:8074	0	1
hsa:2253	hsa:8817	0	1
hsa:2253	hsa:8822	0	1
hsa:2253	hsa:8823	0	1
hsa:2253	hsa:9965	0	1
hsa:2254	hsa:2255	0	1
hsa:2254	hsa:26281	0	1
hsa:2254	hsa:26291	0	1
hsa:2254	hsa:27006	0	1
hsa:2254	hsa:8074	0	1
hsa:2254	hsa:8817	0	1
hsa:2254	hsa:8822	0	1
hsa:2254	hsa:8823	0	1
hsa:2254	hsa:9965	0	1
hsa:2255	hsa:26281	0	1
hsa:2255	hsa:26291	0	1
hsa:2255	hsa:27006	0	1
hsa:2255	hsa:8074	0	1
hsa:2255	hsa:8817	0	1
hsa:2255	hsa:8822	0	1
hsa:2255	hsa:8823	0	1
hsa:2255	hsa:9965	0	1
hsa:26281	hsa:26291	0	1
hsa:26281	hsa:27006	0	1
hsa:26281	hsa:8074	0	1
hsa:26281	hsa:8817	0	1
hsa:26281	hsa:8822	0	1
hsa:26281	hsa:8823	0	1
hsa:26281	hsa:9965	0	1
hsa:26291	hsa:27006	0	1
hsa:26291	hsa:8074	0	1
hsa:26291	hsa:8817	0	1
hsa:26291	hsa:8822	0	1
hsa:26291	hsa:8823	0	1
hsa:26291	hsa:9965	0	1
hsa:27006	hsa:8074	0	1
hsa:27006	hsa:8817	0	1
hsa:27006	hsa:8822	0	1
hsa:27006	hsa:8823	0	1
hsa:27006	hsa:9965	0	1
hsa:8074	hsa:8817	0	1
hsa:8074	hsa:8822	0	1
hsa:8074	hsa:8823	0	1
hsa:8074	hsa:9965	0	1
hsa:8817	hsa:8822	0	1
hsa:8817	hsa:8823	0	1
hsa:8817	hsa:9965	0	1
hsa:8822	hsa:8823	0	1
hsa:8822	hsa:9965	0	1
hsa:8823	hsa:9965	0	1
hsa:2246	hsa:2263	1	1
hsa:2247	hsa:2263	1	1
hsa:2248	hsa:2263	1	1
hsa:2249	hsa:2263	1	1
hsa:2250	hsa:2263	1	1
hsa:2251	hsa:2263	1	1
hsa:2252	hsa:2263	1	1
hsa:2253	hsa:2263	1	1
hsa:2254	hsa:2263	1	1
hsa:2255	hsa:2263	1	1
hsa:26281	hsa:2263	1	1
hsa:26291	hsa:2263	1	1
hsa:27006	hsa:2263	1	1
hsa:8074	hsa:2263	1	1
hsa:8817	hsa:2263	1	1
hsa:8822	hsa:2263	1	1
hsa:8823	hsa:2263	1	1
hsa:9965	hsa:2263	1	1
hsa:2263	hsa:2549	1	1
hsa:2263	hsa:2885	1	1
hsa:7157	hsa:596	1	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1870	hsa:1871	0	1
hsa:5925	hsa:1869	0	1
hsa:5925	hsa:1870	0	1
hsa:5925	hsa:1871	0	1
hsa:898	hsa:9134	0	1
hsa:1027	hsa:898	0	1
hsa:1027	hsa:9134	0	1
hsa:1017	hsa:5925	0	1
hsa:898	hsa:1017	0	1
hsa:9134	hsa:1017	0	1
hsa:1499	hsa:51176	1	2
hsa:1499	hsa:6932	1	2
hsa:1499	hsa:6934	1	2
hsa:1499	hsa:83439	1	2
hsa:999	hsa:1499	0	1
hsa:999	hsa:1499	1	1
hsa:999	hsa:3728	0	1
hsa:1495	hsa:1496	0	1
hsa:1495	hsa:29119	0	1
hsa:1496	hsa:29119	0	1
hsa:999	hsa:1495	0	1
hsa:999	hsa:1496	0	1
hsa:999	hsa:29119	0	1
hsa:1045	hsa:6469	1	1
hsa:1045	hsa:5243	1	1
hsa:1045	hsa:83998	1	1
hsa:1045	hsa:1015	1	1
hsa:1045	hsa:4583	1	1
hsa:7015	hsa:7012	0	2
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
