Start	End	Direction	Weight
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:1030	hsa:595	0	1
hsa:6502	hsa:1027	1	1
hsa:4790	hsa:5970	0	1
hsa:4790	hsa:4843	1	1
hsa:5970	hsa:4843	1	1
hsa:4790	hsa:5743	1	1
hsa:5970	hsa:5743	1	1
hsa:7185	hsa:7186	0	1
hsa:7185	hsa:7187	0	1
hsa:7185	hsa:7188	0	1
hsa:7185	hsa:7189	0	1
hsa:7185	hsa:9618	0	1
hsa:7186	hsa:7187	0	1
hsa:7186	hsa:7188	0	1
hsa:7186	hsa:7189	0	1
hsa:7186	hsa:9618	0	1
hsa:7187	hsa:7188	0	1
hsa:7187	hsa:7189	0	1
hsa:7187	hsa:9618	0	1
hsa:7188	hsa:7189	0	1
hsa:7188	hsa:9618	0	1
hsa:7189	hsa:9618	0	1
hsa:4790	hsa:7185	1	1
hsa:4790	hsa:7186	1	1
hsa:4790	hsa:7187	1	1
hsa:4790	hsa:7188	1	1
hsa:4790	hsa:7189	1	1
hsa:4790	hsa:9618	1	1
hsa:5970	hsa:7185	1	1
hsa:5970	hsa:7186	1	1
hsa:5970	hsa:7187	1	1
hsa:5970	hsa:7188	1	1
hsa:5970	hsa:7189	1	1
hsa:5970	hsa:9618	1	1
hsa:4790	hsa:598	1	1
hsa:5970	hsa:598	1	1
hsa:112401	hsa:329	0	1
hsa:112401	hsa:330	0	1
hsa:112401	hsa:331	0	1
hsa:112401	hsa:79444	0	1
hsa:329	hsa:330	0	1
hsa:329	hsa:331	0	1
hsa:329	hsa:79444	0	1
hsa:330	hsa:331	0	1
hsa:330	hsa:79444	0	1
hsa:331	hsa:79444	0	1
hsa:4790	hsa:112401	1	1
hsa:4790	hsa:329	1	1
hsa:4790	hsa:330	1	1
hsa:4790	hsa:331	1	1
hsa:4790	hsa:79444	1	1
hsa:5970	hsa:112401	1	1
hsa:5970	hsa:329	1	1
hsa:5970	hsa:330	1	1
hsa:5970	hsa:331	1	1
hsa:5970	hsa:79444	1	1
hsa:4790	hsa:595	1	1
hsa:5970	hsa:595	1	1
hsa:1019	hsa:1021	0	1
hsa:1019	hsa:5925	0	1
hsa:1021	hsa:5925	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1870	hsa:1871	0	1
hsa:1869	hsa:5925	0	1
hsa:1870	hsa:5925	0	1
hsa:1871	hsa:5925	0	1
hsa:4792	hsa:4790	0	1
hsa:4792	hsa:5970	0	1
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:8517	0	1
hsa:3551	hsa:8517	0	1
hsa:1147	hsa:4792	1	2
hsa:3551	hsa:4792	1	2
hsa:8517	hsa:4792	1	2
hsa:596	hsa:581	1	1
hsa:10319	hsa:1282	0	1
hsa:10319	hsa:1284	0	1
hsa:10319	hsa:1285	0	1
